"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.211639248873724,0.165831583523747,0.872,0.935,4.78655111201508
512,2,0.195566430487103,0.158063783499001,0.87,0.932,4.42505346145367
512,4,0.185717619995236,0.1506749677782,0.8695,0.936,4.20159100425463
512,8,0.182869368769233,0.148695263816669,0.875,0.9315,4.13664361728899
1024,1,0.141297985447437,0.112204044360491,0.882,0.933,4.51951906073389
1024,2,0.13286041790557,0.105990167398465,0.8805,0.931,4.25045507420053
1024,4,0.129113441961147,0.103457368074273,0.879,0.9325,4.13032988443291
1024,8,0.127198965353504,0.102224109602487,0.878,0.9335,4.06966072160894
2048,1,0.0992911387005568,0.0793641478380506,0.8885,0.938,4.48689499850692
2048,2,0.0927777682347477,0.0738088479244674,0.8835,0.9375,4.19380408385292
2048,4,0.088972005121524,0.0708763148974823,0.881,0.9375,4.02257151868111
2048,8,0.0878968907379045,0.0699365965458004,0.876,0.936,3.97501032074164
4096,1,0.0710395660616573,0.0567163849228916,0.8805,0.9345,4.54233250095843
4096,2,0.0662746706733158,0.0525029417009978,0.875,0.9335,4.23711471611084
4096,4,0.0639025934520462,0.0505751216556499,0.8775,0.933,4.08641615180169
4096,8,0.062836101532851,0.0497838538278538,0.873,0.9305,4.0186213705701
4096,16,0.0620891666005923,0.0491224806344643,0.8745,0.9285,3.9704197180607
8192,1,0.0487557505282152,0.0391485187416128,0.885,0.94,4.4127626780155
8192,2,0.0459672246658018,0.0372429722812455,0.8895,0.947,4.16019618210452
8192,4,0.0442850823284725,0.0357061847026871,0.883,0.942,4.00773162954386
8192,8,0.0436237985060312,0.0350312776545338,0.8825,0.9365,3.94760015952935
8192,16,0.0430193345383698,0.0346037171323344,0.89,0.9385,3.89284393407166
16384,1,0.0352657793768333,0.0280333475982528,0.879,0.9295,4.51344493412703
16384,2,0.0330017922896922,0.0263102681557391,0.875,0.9295,4.22420252385796
16384,4,0.0319551869735225,0.0255349279214518,0.875,0.9285,4.09021674041722
16384,8,0.0314899503312396,0.0250731739155542,0.8745,0.9215,4.03068176025743
16384,16,0.0312917975905306,0.0249606887977721,0.8665,0.925,4.0053227794144
