"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.203383530097345,0.160745122107538,0.8665,0.9305,4.60159388332775
512,2,0.195472550532138,0.155477491358846,0.866,0.928,4.4217394650079
512,4,0.188077152781591,0.150013234920122,0.87,0.924,4.25408410978002
512,8,0.183349386445841,0.147262445289063,0.869,0.9245,4.14752059532959
1024,1,0.142601387627744,0.113620227706623,0.881,0.9415,4.56307183780517
1024,2,0.134619634792688,0.10750074797636,0.871,0.93,4.30779996955491
1024,4,0.129776157913741,0.102899075458495,0.8665,0.9335,4.15269736980514
1024,8,0.127284074031669,0.100716322062689,0.867,0.9295,4.07306336253353
2048,1,0.0982564528289472,0.0788873237812139,0.8845,0.9415,4.44651445185546
2048,2,0.0917141288819884,0.0735716172386505,0.8815,0.9385,4.15047236073
2048,4,0.088714105934529,0.0710569483186901,0.8805,0.9445,4.01437714740127
2048,8,0.0875621187356412,0.0700769637415158,0.875,0.932,3.96226169122862
4096,1,0.0722476510771086,0.0577044605120913,0.8715,0.9275,4.62381610947636
4096,2,0.0678727291325033,0.0543710462966662,0.8725,0.9235,4.34309358454803
4096,4,0.0650749973573794,0.0521524302948602,0.866,0.93,4.16427665892822
4096,8,0.0641621539588233,0.0515017733694416,0.8685,0.929,4.10566272883834
4096,16,0.0638033496175407,0.051312816589505,0.8635,0.927,4.08257348320579
8192,1,0.0514852675698816,0.0404769779766203,0.862,0.924,4.65988057369892
8192,2,0.0481185101319393,0.0378716961635375,0.8655,0.924,4.35504626748032
8192,4,0.0461169508277868,0.0363516210606589,0.8695,0.9245,4.17402911977962
8192,8,0.0449373296306133,0.035671183884205,0.873,0.931,4.06726151684566
8192,16,0.0445277926017915,0.035469766378465,0.8655,0.929,4.03018772022768
16384,1,0.0359541050623754,0.0284967930676181,0.867,0.923,4.60205622292002
16384,2,0.0339459313482509,0.0269327895101251,0.8575,0.922,4.34506126569349
16384,4,0.0325376531473003,0.025852149869955,0.8605,0.9295,4.16476076135876
16384,8,0.0318949772539961,0.0252822408595916,0.8625,0.929,4.08243982396997
16384,16,0.0314011389907067,0.0249728143196039,0.8715,0.9285,4.01887255972311
