"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.20466828011427,0.161541352605321,0.873,0.9315,4.62929489456816
512,2,0.195895432204697,0.153204762528503,0.8705,0.93,4.43181622913421
512,4,0.187508191216286,0.148595529345562,0.862,0.9315,4.24255082426196
512,8,0.182729254554918,0.144580869270458,0.866,0.9275,4.13458545610405
1024,1,0.141999027759179,0.112722296147644,0.875,0.936,4.54049497395224
1024,2,0.132702458248743,0.106178681657358,0.8715,0.934,4.24281439906631
1024,4,0.129313423987899,0.103777279793618,0.8695,0.931,4.13521311073869
1024,8,0.126810451478272,0.101569967183088,0.866,0.9295,4.05539635331328
2048,1,0.10172670273747,0.0808075299110856,0.8705,0.9285,4.6026823223746
2048,2,0.0955122914723808,0.0760703784687764,0.866,0.9235,4.32173396762335
2048,4,0.092761833485988,0.0736015736534332,0.861,0.919,4.19714984875333
2048,8,0.0908564165815716,0.0717637804678021,0.8685,0.92,4.11024121303624
4096,1,0.0721828058361941,0.0576312258479135,0.876,0.929,4.61967455411977
4096,2,0.067875892279657,0.0540761750878933,0.87,0.928,4.34403278087675
4096,4,0.0651747873763886,0.0519717942968351,0.862,0.9285,4.17117937454913
4096,8,0.064222078434391,0.0510860118427843,0.8565,0.9295,4.11004558719024
4096,16,0.0634695692526788,0.0503615089063115,0.8615,0.928,4.06173355060542
8192,1,0.0511228588678875,0.0407231133478784,0.87,0.9325,4.62651390425542
8192,2,0.0478145063867333,0.0380736246389197,0.8645,0.9275,4.32723485503193
8192,4,0.0460196825423728,0.0366815140547336,0.862,0.925,4.16486495517497
8192,8,0.0453077138282499,0.0360863548874174,0.862,0.922,4.10044511816125
8192,16,0.0446519290180193,0.0355585264162829,0.8605,0.922,4.04128410180447
16384,1,0.035682471815845,0.028481910642863,0.8765,0.938,4.56675714493824
16384,2,0.0337914803481686,0.02695712389014,0.875,0.932,4.32511568365575
16384,4,0.0325102165666682,0.0258054992668721,0.873,0.9255,4.16128445725609
16384,8,0.0318458005279939,0.0252244575461923,0.869,0.9245,4.07621872943646
16384,16,0.0314529690265206,0.0249286396700475,0.867,0.927,4.02589886075847
