"n","m","rmse","mae","cvrg90","cvrg95","nsd"
512,1,0.199308529576951,0.160076881100265,0.881,0.9385,4.50966032381479
512,2,0.187098544138516,0.150552857736389,0.875,0.937,4.23352125318329
512,4,0.181847351573121,0.146023218178288,0.8705,0.93,4.11473069497734
512,8,0.178264466936223,0.142980026585217,0.868,0.9285,4.03364069254063
1024,1,0.13982211337532,0.111015714567752,0.8815,0.9315,4.47353129122218
1024,2,0.132373712042496,0.104876662457379,0.8725,0.9235,4.23584545216117
1024,4,0.128481331148078,0.101454777342954,0.8725,0.9265,4.11125170608348
1024,8,0.12582990934383,0.0994071596222483,0.867,0.921,4.02645809189043
2048,1,0.100140016132373,0.0798328354227929,0.874,0.9365,4.53181170662547
2048,2,0.0939695256341319,0.0748915265688511,0.881,0.933,4.25229258949459
2048,4,0.0909640944264445,0.07229422773994,0.87,0.9365,4.1158209667747
2048,8,0.0890896756452536,0.0708613408317472,0.87,0.9365,4.03117616791458
4096,1,0.0694738246831138,0.0551885674950507,0.883,0.942,4.44179098270767
4096,2,0.0658950564440569,0.052245103874859,0.8765,0.928,4.21402628800184
4096,4,0.0640094075555633,0.0511137033158986,0.8735,0.9315,4.09461420233112
4096,8,0.0625987406077051,0.0500173763961165,0.874,0.9305,4.00481405532861
4096,16,0.0618366156807584,0.0494293606716593,0.871,0.9325,3.95640648917091
8192,1,0.0504502987636265,0.0399454915920307,0.871,0.934,4.56555295367904
8192,2,0.0472496629798519,0.0377039493565696,0.8725,0.9325,4.27587280644842
8192,4,0.0458629323086687,0.0365175022037315,0.8675,0.937,4.15027397418882
8192,8,0.0447990555436358,0.0357249131365855,0.8735,0.934,4.0533256383908
8192,16,0.0443650114390225,0.0354247051790348,0.8695,0.934,4.01431636244059
16384,1,0.035957079879707,0.0283378170727444,0.872,0.9325,4.59992898226225
16384,2,0.0336244967938959,0.026471034516806,0.8705,0.933,4.29991704266915
16384,4,0.0328794464883593,0.0259240122632234,0.8645,0.9265,4.20607973198385
16384,8,0.0321316198012172,0.0253640101949033,0.864,0.9255,4.11106406601121
16384,16,0.0317749928058201,0.0251380359439674,0.87,0.924,4.06552379174315
